,PipelineName,SegmentName,Status,StartLocation,EndLocation,Capacity,CapacityUnits,StartState/Province,EndState/Province,WKTFormat
2529,Ningxia Gas Pipeline Network,Hangjinqi-Yinchuan Gas Pipeline,Operating,Hanggin,,2.5,bcm/y,Inner Mongolia,Ningxia,"LINESTRING (108.810472 39.61288, 107.270398 39.201772, 106.695724 38.80532, 106.353957 38.54564, 106.329356 38.468798, 106.110757 38.456894)"
2533,China–Russia East Pipeline,,Operating,Changling,Yongqing,38,bcm/y,Jilin,Hebei,"LINESTRING (123.644593 43.35972, 123.485958 43.01, 123.482845 42.692, 123.21549 42.202526, 123.009965 41.939341, 122.783013 41.748038, 121.588552 41.209804, 121.038195 40.946362, 120.407741 40.39688, 119.736811 40.123637, 119.535858 40.037061, 118.104915 39.755959, 116.926286 39.473163, 116.555529 39.30201, 116.51979 39.297164)"
2534,China–Russia East Pipeline,Phase II,Operating,Changling,Yongqing,38,bcm/y,Jilin,Hebei,"LINESTRING (123.644593 43.35972, 123.485958 43.01, 123.482845 42.692, 123.21549 42.202526, 123.009965 41.939341, 122.783013 41.748038, 121.588552 41.209804, 121.038195 40.946362, 120.407741 40.39688, 119.736811 40.123637, 119.535858 40.037061, 118.104915 39.755959, 116.926286 39.473163, 116.555529 39.30201, 116.51979 39.297164)"
2535,China–Russia East Pipeline,Phase I,Operating,Heihe,Changling,38,bcm/y,Heilongjiang,Jilin,"LINESTRING (127.529918 50.24344, 127.36687 50.196359, 126.659306 48.69307, 125.989514 47.168844, 125.279008 46.043012, 124.872457 45.662499, 124.330183 44.574754, 123.882838 44.247906, 123.911035 43.957154, 123.644593 43.35972)"
2537,China–Russia East Pipeline,Phase III,Construction,Yongqing,Baihe,38,bcm/y,Hebei,Shanghai,"MULTILINESTRING ((116.51979 39.297164, 115.429023 38.301166, 116.2313 37.312918, 116.681208 36.498398, 116.9239 36.197698, 117.485926 35.67347, 118.5942 35.216156, 119.001141 34.484422, 119.895192 33.472684, 120.112919 33.142031, 120.209131 32.138724, 120.952551 32.262236, 121.066638 31.721365, 120.861347 31.304153, 121.131321 31.266851), (124.330183 44.574754, 125.413804 44.148949))"
2547,Zhongwei-Guiyang Connecting Gas Pipeline,Trunk line,Operating,Zhongwei,,15,bcm/y,Ningxia,Guizhou,"LINESTRING (105.147714 37.459796, 106.223081 36.007314, 105.848106 32.427166, 106.053578 31.357051, 106.300149 30.346809, 106.040075 29.903573, 106.934188 27.729828, 106.545545 26.311174)"
2576,Hebei-Nanjing Connecting Gas Pipeline,Trunk line,Operating,Qingshan Town,Anping,10,bcm/y,Jiangsu,Hebei,"LINESTRING (119.087956 32.257451, 119.113755 33.631253, 118.19251 33.915439, 117.975417 34.298979, 117.25242 34.782436, 117.127351 35.094705, 116.908014 35.551475, 116.92396 36.1983, 116.82381 36.936466, 116.246672 37.457455, 115.42929 38.300838)"
2577,Inner Mongolia Gas Pipeline Network,Hulunbuir Segment,Proposed,Longjiang,,0.75,bcm/y,Heilongjiang,Inner Mongolia,"LINESTRING (127.36687 50.196359, 119.7711 49.2072)"
2594,Inner Mongolia Gas Pipeline Network,Malian Lake-Zhongwei Gas Pipeline,Operating,,,0.13,bcm/y,Inner Mongolia,Shaanxi,--
2601,Inner Mongolia Gas Pipeline Network,Baotou-Linhe Gas Pipeline,Proposed,,,0.39,bcm/y,Inner Mongolia,Ningxia,"LINESTRING (109.79761 40.668264, 107.441267 40.752779)"
2611,Jilin Gas Pipeline Network,Songyuan–Baicheng–Ulanhot Gas Pipeline,Proposed,Qianguo County,,0.58,bcm/y,Jilin,Inner Mongolia,"LINESTRING (124.786273 45.195823, 122.862874 45.636504, 122.14117 46.091979)"
2617,Hohot-Zhangjiakou-Yanqing Gas Pipeline,Jining–Yanqing Segment,Proposed,Saihan,,2,bcm/y,Inner Mongolia,Beijing,"LINESTRING (111.733556 40.683851, 112.19391 40.922272, 113.378938 40.957598, 114.900897 40.62296, 115.980539 40.510484)"
2618,Hohot-Zhangjiakou-Yanqing Gas Pipeline,Saihan–Jining Segment,Operating,Saihan,,2,bcm/y,Inner Mongolia,Beijing,"LINESTRING (111.733556 40.683851, 112.19391 40.922272, 113.378938 40.957598, 114.900897 40.62296, 115.980539 40.510484)"
2619,CNPC Sichuan & Chongqing Gas Pipeline Network,,Operating,,,30,bcm/y,Sichuan,Chongqing,"MULTILINESTRING ((104.8929977 31.7866993, 104.9520035 31.2919006, 104.5439987 31.1716995, 104.4029999 30.8929005, 104.3539963 30.3642998, 104.3280029 29.9057007, 104.3259964 29.7525005, 104.487999 29.6266003, 104.6159973 29.5209007, 104.7429962 29.2360992, 105.177002 28.6679001, 105.2519989 28.6539001, 105.2519989 28.6257992, 105.8460007 28.6716003, 105.9869995 28.7203007, 106.2409973 29.0013008, 106.2799988 29.2213001, 106.4990005 29.6159, 107.0820007 29.8630009, 107.2200012 30.1823006, 107.5630035 30.5685005, 107.8339996 30.8526993, 108.038002 31.0356998, 108.0569992 31.3456993, 106.8730011 31.4081993, 106.0920029 31.3318005, 105.5270004 31.1928005, 105.1080017 31.0674, 104.4899979 31.0559006), (108.0559998 31.3451996, 108.3899994 30.7787991, 108.1210022 30.3234005, 107.5699997 30.5788994, 106.9199982 30.7677994, 106.8730011 31.4120007), (107.2220001 30.1854992, 106.9199982 30.7672005, 106.8840027 30.6917992, 106.5770035 30.4601994, 105.7050018 30.3239002, 104.3550034 30.3684006, 104.1139984 30.4181995, 104.1139984 30.5214005, 104.2419968 30.6334991, 104.2809982 30.8973999, 104.4039993 30.8943005, 105.435997 30.8647995, 105.7610016 30.7695999, 106.9189987 30.7900009), (104.1139984 30.4204998, 104.1139984 30.2968998, 104.3300018 29.9232006), (104.4710007 28.6079006, 104.6080017 28.6648998, 104.9069977 28.5741997, 105.1809998 28.6648998, 105.552002 28.7891006, 105.8190002 28.7555008, 106.0839996 29.0116005, 106.2549973 29.0907993, 106.6340027 29.2872009, 107.0240021 29.5818996, 107.0810013 29.8623009))"
2622,Tianjin Gas Pipeline Network,Tianjin Nangang LNG Transport Pipeline (Nangang-Beijing),Construction,Tianjin Nangang LNG,,4.5,bcm/y,Tianjin,Beijing,"LINESTRING (117.714095 38.738256, 117.091654 38.79484, 116.946275 38.764233, 116.674562 39.305859, 116.601945 39.468417, 116.673414 39.641752)"
2623,Tianjin Gas Pipeline Network,Dagang–Yongqing Gas Pipelines 1,Operating,Yongqing,Nangang,3.1,bcm/y,Hebei,Tianjin,"LINESTRING (116.518753 39.295781, 116.458628 39.096086, 116.930553 38.779099, 117.239099 38.826566, 117.549985 38.752138)"
2624,Tianjin Gas Pipeline Network,Dagang–Yongqing Gas Pipelines 2,Operating,Yongqing,Nangang,6.3,bcm/y,Hebei,Tianjin,"LINESTRING (116.518753 39.295781, 116.458628 39.096086, 116.930553 38.779099, 117.239099 38.826566, 117.549985 38.752138)"
2625,Tianjin Gas Pipeline Network,Dagang–Yongqing Gas Pipelines 3,Operating,Yongqing,Nangang,9.05,bcm/y,Hebei,Tianjin,"LINESTRING (116.518753 39.295781, 116.458628 39.096086, 116.930553 38.779099, 117.239099 38.826566, 117.549985 38.752138)"
2628,Tianjin Gas Pipeline Network,Tianjin LNG Terminal Transport Pipeline,Operating,Tianjin Port,Tangshan/Cangzhou,13.6,bcm/y,Tianjin,Hebei,"LINESTRING (117.709045 38.745837, 117.549993 38.752153, 116.947444 38.777992, 116.943492 39.422038, 117.002744 38.319473, 116.947444 38.777992, 117.312465 38.041477, 117.339356 37.757364, 117.777065 37.33959, 117.81639 37.012677)"
2629,Tianjin Gas Pipeline Network,Tianjin LNG Terminal Transport Pipeline Parallel Line,Proposed,Tianjin Port,Huanghua/Cangzhou,11,bcm/y,Tianjin,Hebei,"LINESTRING (117.709045 38.745837, 117.549993 38.752153, 117.191976 38.545502, 117.002744 38.319473)"
2671,Shanxi Gas Pipeline Network,Duanshi–Jincheng–Bo'ai Gas Pipeline,Operating,Duanshi,Bo'ai,2,bcm/y,Shanxi,Henan,"LINESTRING (112.5183184675677 35.6689263282523, 112.852 35.491, 113.066667 35.175)"
2672,Shanxi Gas Pipeline Network,Ji County-Yanchang gas pipeline Phase I,Construction,Ji County,Yanchang,3.3,bcm/y,Shanxi,Shaanxi,--
2699,Sichuan–Shanghai Gas Pipeline,Huangmei-Jiujiang branch,Operating,,,3,bcm/y,Hubei,Jiangxi,--
2707,Sichuan–Shanghai Gas Pipeline,Trunk line,Operating,Dazhou,Qingpu District,12,bcm/y,Sichuan,Shanghai,"MULTILINESTRING ((115.0128325 35.7625622, 111.2684464 30.6967334), (111.2684464 30.6967334, 107.7859754 30.6635054, 107.7366234 31.2560813), (111.2684464 30.6967334, 115.9266904 30.0803014, 115.5917534 30.3849233, 120.7366014 30.7318574, 121.4578744 31.2310573), (107.7859754 30.6635054, 107.0578354 29.8560273), (115.9266904 30.0803014, 115.8971234 29.6200904), (115.5917534 30.3849233, 119.5301414 31.7430483, 118.7586044 32.0070063), (120.7366014 30.7318574, 120.6019844 31.2670213))"
2713,Sichuan–Shanghai Parallel Gas Pipeline,Qiangjiang–Wenzhou Segment,Proposed,Weiyuan/Lu County,,25,bcm/y,Sichuan,Hubei,"LINESTRING (113.427828 30.338497, 114.906 30.447128, 115.94651 30.06427, 116.839864 30.710557, 118.755919 30.92808, 119.65536 30.663288, 120.514058 28.103556)"
2714,Sichuan–Shanghai Parallel Gas Pipeline,Weiyuan–Qiangjiang Segment,Construction,,Baihe Town,25,bcm/y,Sichuan,Shanghai,"LINESTRING (107.726454 31.531068, 107.740776 31.236845, 107.729308 30.672091, 108.906124 30.277461, 109.508167 30.381715, 111.448581 30.494023, 112.926686 30.268317, 114.255459 30.257835, 115.866327 30.095755, 116.885809 30.671793, 118.662906 30.911181, 119.135262 30.973881, 120.330015 30.813187, 121.039919 31.004288, 107.726454 31.531068, 107.740776 31.236845, 107.729308 30.672091, 108.906124 30.277461, 109.508167 30.381715, 111.448581 30.494023, 112.926686 30.268317)"
2716,Sichuan–Shanghai Parallel Gas Pipeline,Zaoyang–Hefei–Xuancheng Connecting Pipeline,Proposed,,,15,bcm/y,Hubei,Anhui,"LINESTRING (112.973379 32.331229, 113.475128 32.373224, 113.65381 32.288539, 114.060366 32.181767, 116.28118 32.364527, 117.040995 32.624563, 117.283905 32.036707, 118.755919 30.92808)"
2719,Sichuan & Chongqing Grand Loop Line,,Operating,,,12,bcm/y,Sichuan,Chongqing,"MULTILINESTRING ((107.729531 31.531108, 106.055957 31.816676, 104.408768 31.183638, 104.071865 30.49069, 104.648308 29.511791, 105.916451 29.334781), (106.055957 31.816676, 106.07827 30.807006), (106.055957 31.816676, 105.840242 32.449895), (106.75517 31.839642, 106.619943 30.467651))"
2744,Guangdong West Gas Pipeline Network,Maoming–Yangjiang Pipeline,Operating,Gongguan,"Yangdong District, Hongfeng",4,bcm/y,Guangxi,Guangdong,"LINESTRING (110.8597702 21.7149648, 110.9064678 21.706209, 110.9259252 21.7003718, 110.945869 21.6935617, 110.9609484 21.6823738, 110.9760279 21.6638893, 110.9872158 21.6527013, 111.0013224 21.6522149, 111.0528844 21.6527013, 111.1132022 21.6522149, 111.1326595 21.654647, 111.1676828 21.6565928, 111.1861672 21.6585385, 111.2124347 21.6590249, 111.2503765 21.6599978, 111.2691217 21.6623395, 111.2911611 21.6645884, 111.3383885 21.6627892, 111.3554803 21.663239, 111.3856159 21.6645884, 111.4090047 21.675833, 111.4296948 21.6852785, 111.4791711 21.7172132, 111.4980621 21.7307067, 111.5488877 21.7612921, 111.5934164 21.7891787, 111.6153906 21.8007788, 111.6607707 21.8234689, 111.7393132 21.8548858, 111.8108741 21.882812, 111.8562541 21.9037567, 111.8841804 21.9037806)"
2773,Guangxi LNG Terminal Transport Parallel Pipeline,Baise-Wenshan Branch,Proposed,Baise,Wenshan,1,bcm/y,Guangxi,Yunnan,--
2786,Zhongxian-Wuhan Gas Pipeline,,Operating,Zhong County,,3,bcm/y,Chongqing,Hubei,"MULTILINESTRING ((107.8977934 30.3559444, 109.467732 30.280778, 111.407793 30.602339, 112.303378 30.329658, 112.888008 30.397135, 113.424651 30.348951, 114.2335614 30.5514354), (114.2335614 30.5514354, 115.02171 30.208746), (112.888008 30.397135, 113.147695 29.358585, 112.977986 27.862056), (112.303378 30.329658, 112.214765 31.018849, 112.167706 32.052539))"
2796,Xinjiang Coal-to-Gas Pipeline,Qianjiang-Chenzhou segment,Operating,,,16.8,bcm/y,Hubei,Hunan,--
2797,Xinjiang Coal-to-Gas Pipeline,,Proposed,Mulei,,30,bcm/y,Xinjiang,Guangdong,"MULTILINESTRING ((83.836014 41.786238, 86.080334 41.816934, 88.201965 42.241547, 90.149571 44.024475), (89.225305 44.824471, 90.149571 44.024475), (83.352513 44.560878, 85.393499 44.604844, 90.149571 44.024475, 91.475539 43.489336, 95.43846 41.074326, 99.779234 39.290377, 105.147714 37.459796, 105.59322 37.399784, 106.894193 35.567659, 107.828842 35.001968, 110.103662 34.556083, 110.396572 34.521767, 112.039949 34.515025, 112.973379 32.331229, 112.733716 30.997893, 112.907841 30.495667, 113.203544 29.549186, 113.327925 27.775227, 112.85965 26.833469, 112.951532 25.718334, 113.175553 25.439704, 113.667615 24.821935), (112.039949 34.515025, 112.590335 34.906104, 113.09606 35.113101, 115.112268 35.435801, 115.595635 35.419759, 117.0197 35.724007, 118.312792 35.235669), (116.838249 36.795333, 115.112268 35.435801), (113.327925 27.775227, 113.908937 27.707385, 115.022065 27.831309, 116.231004 28.078278, 117.98244 28.511841, 118.601423 28.717145), (116.231004 28.078278, 118.113737 26.573189), (112.85965 26.833469, 111.669925 26.295614, 110.127437 25.163027))"
2801,Xinjiang Coal-to-Gas Pipeline,Henan-Shandong Branch,Proposed,,,15,bcm/y,Henan,Shandong,--
2802,Xinjiang Coal-to-Gas Pipeline,Jiangxi-Fujian-Zhejiang Branch,Proposed,,,8.5,bcm/y,Jiangxi,Fujian,--
2803,Xinjiang Coal-to-Gas Pipeline,Guangxi Branch,Construction,Nan County Hongshan Town,Lingui District Sitang Town,2.5,bcm/y,Hunan,Guangxi,--
2804,Yu-ji Pipeline Network,Anping-Jinan Gas Pipeline,Operating,Anping,Jinan,3,bcm/y,Hebei,Shandong,"LINESTRING (115.447451 38.283375, 116.82381 36.936466)"
2806,Yu-ji Pipeline Network,Yulin-Jinan Gas Pipeline,Operating,Yulin,Xuanzhangtun,3,bcm/y,Shaanxi,Shandong,"LINESTRING (109.543413 38.276825, 111.000639 37.979558, 112.289013 37.308015, 113.244874 36.389581, 114.352048 36.007301, 115.207864 35.728449, 115.70789 36.283801, 116.82381 36.936466)"
2825,Jiangsu Coastal Gas Pipeline,"Binhai LNG Transport Pipeline (Binhai-Xuyi, Tianchang-Hefei)",Construction,Binhai,,5.95,bcm/y,Jiangsu,Anhui,"MULTILINESTRING ((120.268185 34.274036, 119.824345 33.924165, 119.038198 33.326267, 118.611479 33.104815, 118.893442 32.689381, 118.458206 32.449768, 118.292421 32.069713, 117.493076 31.876201), (119.824345 33.924165, 119.844087 33.765925))"
2844,Jiangxi Natural Gas Pipeline Network,Jiujiang-Gao'an Gas Pipeline,Operating,Lushan,Gao'an,3,bcm/y,Jiangxi,Jiangxi,--
2851,Hebei Gas Pipeline Network,Cangzhou-Zibo Gas Pipeline,Operating,Cangzhou,Zibo,1.05,bcm/y,Hebei,Shandong,"LINESTRING (116.857183 38.258788, 118.354022 37.110027)"
2854,Hebei Gas Pipeline Network,Ying County–Zhangjiakou Gas Pipeline,Operating,Ying County,Zhangjiakou,0.47,bcm/y,Shanxi,Hebei,"LINESTRING (113.203268 39.554038, 114.900897 40.62296)"
2856,Hebei Gas Pipeline Network,Beijing–Shijiazhuang–Handan Parallel Gas Pipeline,Operating,,,1.51,bcm/y,Beijing,Hebei,"LINESTRING (115.823177 39.408243, 115.82127565561375 39.39145574793229, 115.79742269847624 39.37667454705632, 115.80674755707415 39.37007410154334, 115.78926451918325 39.34936628795384, 115.70216372489615 39.28555884900039, 115.701233 38.909225, 115.585809 38.768242)"
2880,Henan Gas Pipeline Network,Puyang–Fan County–Taiqian Gas Pipeline,Operating,,,0.9,bcm/y,Henan,Hebei,"LINESTRING (115.23477 35.732924, 115.775415 35.958513)"
2893,Zhejiang Natural Gas Pipeline Network,Changzhou-Huzhou Gas Pipeline,Operating,,,1.79,bcm/y,Jiangsu,Zhejiang,"LINESTRING (119.898809 31.827233, 119.801347 31.373211, 119.885114 31.023414)"
2907,Sebei-Xining-Lanzhou Gas Pipeline,,Operating,"Sebei, Qaidam Basin",,2,bcm/y,Qinghai,Gansu,"LINESTRING (94.165981 37.350374, 95.497236 37.450395, 97.355222 37.314571, 98.470852 36.910872, 99.455664 36.68665, 100.973197 36.398028, 101.59062 36.420921, 101.67866 36.457201, 101.790715 36.45405, 102.809053 36.050053, 103.583904 36.105148)"
2908,Sebei-Xining-Lanzhou Parallel Gas Pipeline,,Operating,Sebei,,3.3,bcm/y,Qinghai,Gansu,"LINESTRING (94.163561 37.348229, 97.355222 37.314571, 98.25078 36.98391, 100.973197 36.398028, 101.59062 36.420921, 101.790715 36.45405, 102.809053 36.050053, 103.583904 36.105148)"
2952,Hunan Gas Pipeline Network,Huarong-Nanxian-Anxiang Gas Pipeline,Operating,Shishou,,0.6,bcm/y,Hubei,Hunan,"LINESTRING (112.428092 29.69337, 112.48652 29.515123, 112.398206 29.340434, 112.12822 29.406806)"
2955,Gansu Gas Pipeline Network,Changqing-Yinchuan Gas Pipeline,Operating,Jingbian,Yinchuan,1.08,bcm/y,Shaanxi,Ningxia,"LINESTRING (106.110757 38.456894, 106.266118 38.274706, 106.342327 38.098539, 106.830367 38.121103, 107.406995 37.799834, 108.926356 37.655418)"
2968,CNOOC Coal Gasification Transmission Pipeline,,Construction,Hanggin,Huanghua,20,bcm/y,Inner Mongolia,Hebei,"MULTILINESTRING ((108.947179 39.901433, 110.040137 40.277102, 111.305254 40.193666, 112.420628 39.97377, 113.166454 39.569453, 114.2353 39.445957, 115.899317 39.034135, 116.475234 38.865063, 116.965063 38.933206, 117.191976 38.545502, 117.370874 38.342561), (117.191976 38.545502, 117.695509 38.997741), (116.475234 38.865063, 116.521956 39.298733, 116.675042 39.489631))"
2970,West-East Gas Pipeline 1,Lanzhou-Yinchuan Connecting Gas Pipeline,Operating,Selan,,3.5,bcm/y,Gansu,Ningxia,"LINESTRING (103.583904 36.105148, 104.51256 37.455732, 105.968445 38.21689, 106.110757 38.456894)"
2971,West-East Gas Pipeline 1,Nanjing-Wuhu Gas Pipeline,Operating,,,1.67,bcm/y,Jiangsu,Anhui,"LINESTRING (119.093929 32.213577, 117.724665 31.414052)"
2972,West-East Gas Pipeline 1,,Operating,Lunnan,,17,bcm/y,Xinjiang,Shanghai,"LINESTRING (84.2161 41.475422, 95.430766 41.078315, 95.775346 40.560655, 102.571561 37.943141, 105.147203 37.459851, 105.669839 37.552241, 106.61435 37.420167, 108.926356 37.655418, 113.18778 36.307903, 113.718787 34.829377, 117.018852 32.523638, 118.891525 32.201279, 121.139422 31.25252)"
2973,West-East Gas Pipeline 3,East Section (Ji'an–Fuzhou),Operating,Khorgas,,30,bcm/y,Xinjiang,Fujian,"LINESTRING (114.970112 27.106776, 117.649381 24.504678, 119.269629 26.088333)"
2974,West-East Gas Pipeline 3,Fujian–Guangdong Branch Phase I (Guangzhou–Chaozhou),Operating,Zengcheng,Guangdong,5.8,bcm/y,Guangdong,Fujian,"LINESTRING (113.857539 23.313949, 113.887523 23.371399, 114.410641 23.435765, 114.599483 23.566121, 116.089731 23.568454, 116.223925 23.649556, 116.432428 23.770793, 116.486029 23.879776)"
2975,West-East Gas Pipeline 3,Fujian–Guangdong Branch Phase II (Chaozhou–Zhangzhou),Construction,,Shiting Town,5.8,bcm/y,Guangdong,Fujian,"LINESTRING (116.486029 23.879776, 116.94196 24.203586, 117.533902 24.572062, 117.593104 24.637091)"
2976,West-East Gas Pipeline 3,Middle Section (Zhongwei–Ji'an),Construction,Khorgas,,25,bcm/y,Xinjiang,Fujian,"LINESTRING (105.147203 37.459851, 105.669839 37.552241, 106.61435 37.420167, 108.926356 37.655418, 108.8773525 34.4761062, 112.380172 34.690683, 113.26779 33.729279, 112.783381 32.103546, 113.153417 27.860252, 114.970112 27.106776)"
2977,West-East Gas Pipeline 3,West Section (Khorgos–Zhongwei),Operating,Khorgas,,30,bcm/y,Xinjiang,Fujian,"LINESTRING (80.3899585 44.2117431, 84.851222 44.372805, 87.646346 43.873206, 93.521731 42.902703, 95.488382 41.102206, 94.574444 40.14126, 102.571561 37.943141, 105.147203 37.459851)"
