,PipelineName,SegmentName,Status,StartLocation,EndLocation,Capacity,CapacityUnits,StartState/Province,EndState/Province,WKTFormat
2980,West-East Gas Pipeline 3,Zhongwei-Jingbian Connecting Gas Pipeline,Operating,Zhongwei,Jingbian,30,bcm/y,Ningxia,Shaanxi,"LINESTRING (105.147203 37.459851, 105.669839 37.552241, 106.61435 37.420167, 108.926356 37.655418)"
2988,West-East Gas Pipeline 2,Jiaxing-Luzhi Pipeline,Operating,,Luzhi,0.2,bcm/y,Zhejiang,Jiangsu,--
2989,West-East Gas Pipeline 2,Nanchang-Shanghai Branch,Operating,"Dongyang Town, Anyi County","Jinshanwei Town, Jinshan District",10,bcm/y,Jiangxi,Shanghai,"LINESTRING (115.500411 28.514698, 116.081573 28.672188, 116.82589 28.208641, 117.966665 28.475184, 117.989966 28.45509, 118.51367 28.889487, 118.8632 28.989227, 119.642571 29.133876, 120.034513 29.340729, 120.331273 30.189365, 120.699544 30.497438, 120.932077 30.545057, 120.983912 30.701795, 121.262169 30.700106, 121.144346 31.241703)"
2990,West-East Gas Pipeline 2,Pingdingshan-Tai'an Branch,Operating,,,10,bcm/y,Henan,Shandong,"LINESTRING (113.044414 33.78512, 113.795709 34.512944, 113.903009 34.609488, 114.277377 34.639586, 115.587102 35.055318, 116.120999 35.463463, 116.525452 35.686813, 116.92396 36.1983)"
2991,West-East Gas Pipeline 2,Zhangshu-Xiangtan Branch,Operating,Zhangshu,,3,bcm/y,Jiangxi,Hunan,"LINESTRING (115.505061 28.081008, 114.909796 27.839428, 114.401943 27.827894, 113.862655 27.671099, 112.969978 27.796634)"
2992,West-East Gas Pipeline 2,,Operating,Khorgas,,30,bcm/y,Xinjiang,Guangdong,"MULTILINESTRING ((80.3899585 44.2117431, 84.851222 44.372805, 87.646346 43.873206, 88.847569 43.162187, 93.521731 42.902703, 95.430766 41.078315, 95.775346 40.560655, 102.571561 37.943141, 105.147203 37.459851, 108.8773525 34.4761062, 112.380172 34.690683, 113.044414 33.78512, 112.783381 32.103546, 114.416204 30.7065, 116.081573 28.672188, 115.505061 28.081008, 114.944112 25.827854, 113.414081 23.62671, 114.043939 22.513834, 114.128846 22.208255), (115.500411 28.514698, 116.081573 28.672188, 116.82589 28.208641, 117.966665 28.475184, 117.989966 28.45509, 118.51367 28.889487, 118.8632 28.989227, 119.642571 29.133876, 120.034513 29.340729, 120.331273 30.189365, 120.699544 30.497438, 120.932077 30.545057, 120.983912 30.701795, 121.262169 30.700106, 121.139422 31.25252), (115.505061 28.081008, 114.909796 27.839428, 114.401943 27.827894, 113.862655 27.671099, 112.969978 27.796634), (113.414081 23.62671, 113.043901 23.665671, 112.47485 23.099881, 112.056689 22.949836, 111.208825 23.404001, 110.71651 23.382216, 109.482892 23.124714, 108.587763 22.74391), (113.044414 33.78512, 113.795709 34.512944, 113.903009 34.609488, 114.277377 34.639586, 115.587102 35.055318, 116.120999 35.463463, 116.525452 35.686813, 116.92396 36.1983), (105.147203 37.459851, 105.669839 37.552241, 106.61435 37.420167, 108.926356 37.655418), (84.240066 41.476463, 88.167977 42.244282, 88.847569 43.162187))"
2993,West-East Gas Pipeline 2,Guangzhou-Nanning Branch,Operating,Aotou Town,Yongning District,10,bcm/y,Guangdong,Guangxi,"LINESTRING (113.414081 23.62671, 113.043901 23.665671, 112.47485 23.099881, 112.056689 22.949836, 111.208825 23.404001, 110.71651 23.382216, 109.482892 23.124714, 108.587763 22.74391)"
2995,West-East Gas Pipeline 5,,Proposed,Ulugqat,,45,bcm/y,Xinjiang,Ningxia,"LINESTRING (73.9261698 39.69572899, 73.961375 39.713521, 73.963847 39.7217, 73.966049 39.73508, 74.104074 39.81921, 74.125575 39.81004, 74.178477 39.771003, 74.334102 39.818408, 74.43006039 39.81218, 75.007944 39.755618, 75.216457 39.718585, 75.825847 39.619643, 80.267932 41.198581, 86.28945 41.823572, 86.851276 42.270036, 88.656956 42.417257, 90.456341 43.075619, 93.452883 42.658485, 95.490663 41.093996, 100.416921 38.917789, 102.611396 37.908647, 105.147714 37.459796)"
2996,West-East Gas Pipeline 4,,Operating,Yining,,15,bcm/y,Xinjiang,Ningxia,"LINESTRING (73.9261698 39.69572899, 73.961375 39.713521, 73.963847 39.7217, 73.966049 39.73508, 74.104074 39.81921, 74.125575 39.81004, 74.178477 39.771003, 74.334102 39.818408, 74.43006039 39.81218, 75.007944 39.755618, 75.216457 39.718585, 75.825847 39.619643, 80.267932 41.198581, 86.28945 41.823572, 86.851276 42.270036, 88.656956 42.417257, 90.456341 43.075619, 93.452883 42.658485, 95.490663 41.093996, 100.416921 38.917789, 102.611396 37.908647, 105.147714 37.459796)"
2997,West-East Gas Pipeline 4,Phase I,Construction,Yining,,40,bcm/y,Xinjiang,Ningxia,--
3012,Guizhou Gas Pipeline Network,Huangying-Luolong-Zhennan gas pipeline,Proposed,Huangying Town,"Wuchuan County, Zhennan Town",0.5,bcm/y,Chongqing,Guizhou,--
3015,Guizhou Gas Pipeline Network,Yuping-Xinhuang Gas Pipeline,Proposed,Yuping,Xinhuang,2,bcm/y,Guizhou,Hunan,--
3039,Liaoning Gas Pipeline Network,Changtu-Tongliao Gas Pipeline,Operating,Changtu,Tongliao Economic Zone,1.8,bcm/y,Liaoning,Inner Mongolia,"LINESTRING (122.155165 43.705318, 122.073036 43.880839, 119.660109 45.496066)"
3042,Liaoning Gas Pipeline Network,Jianping-Chifeng Gas Pipeline,Construction,Jianping,Hongshan District,0.53,bcm/y,Liaoning,Inner Mongolia,"LINESTRING (119.721011 41.398684, 119.334502 41.621396, 119.359402 42.080316, 119.22001 42.221067, 118.952639 42.214121)"
3049,Liaoning Gas Pipeline Network,Qinhuangdao-Shenyang Gas Pipeline,Operating,,,8,bcm/y,Hebei,Liaoning,"LINESTRING (123.009965 41.939341, 122.783013 41.748038, 121.588552 41.209804, 121.038195 40.946362, 120.407741 40.39688, 119.736811 40.123637, 119.535858 40.037061)"
3054,Ordos-Anping-Cangzhou Gas Pipeline,Anping-Puyang Branch,Operating,安平-濮阳,,7,bcm/y,Hebei,Henan,--
3056,Ordos-Anping-Cangzhou Gas Pipeline,,Operating,沧州-鹿泉,Luquan,70,bcm/y,Hebei,Chongqing,--
3075,Shaan-Jing Gas Pipeline 4,Baodi-Xianghe-Xiji Gas Pipeline,Operating,,Xiji,17,bcm/y,Tianjin,Beijing,"LINESTRING (117.283852 39.581151, 117.073281 39.807754, 116.810907 39.795992)"
3076,Shaan-Jing Gas Pipeline 4,Miyun-Mafang-Xianghe Gas Pipeline,Operating,,Xianghe,17,bcm/y,Beijing,Hebei,"LINESTRING (116.523928 40.233411, 117.070131 40.089986, 117.073281 39.807754)"
3078,Shaan-Jing Gas Pipeline 1,,Operating,,Yamenkou terminal,4,bcm/y,Shaanxi,Beijing,"LINESTRING (108.926356 37.655418, 109.099817 37.938904, 109.543413 38.276825, 110.280659 39.041133, 110.743159 39.291712, 112.31287 39.255294, 113.183034 39.545606, 113.64145 39.669871, 114.228709 39.437046, 115.973736 39.477376, 116.213974 39.884447)"
3079,Shaan-Jing Gas Pipeline 2,,Operating,Jingbhian,,12,bcm/y,Shaanxi,Beijing,"LINESTRING (108.926356 37.655418, 109.099817 37.938904, 109.543413 38.276825, 111.103015 38.449707, 111.934499 38.371467, 112.643086 38.021922, 113.399957 38.066377, 115.310102 38.436492, 116.374129 39.097792, 116.521899 39.298515, 116.673414 39.641752, 116.810907 39.795992)"
3080,Shaan-Jing Gas Pipeline 3,,Operating,Yulin,Xishatun,15,bcm/y,Shaanxi,Beijing,"LINESTRING (109.543413 38.276825, 111.093916 38.161303, 111.688265 38.299458, 111.934499 38.371467, 112.643086 38.021922, 113.399957 38.066377, 115.310102 38.436492, 116.374129 39.097792, 116.521899 39.298515, 115.973736 39.477376, 116.24763 40.174674)"
3081,Shaan-Jing Gas Pipeline 4,,Operating,Jingbian,Gaoliying,25,bcm/y,Shaanxi,Beijing,"LINESTRING (108.926356 37.655418, 108.851865 37.875172, 109.412275 39.635508, 111.353632 40.204938, 113.166566 40.769412, 113.757843 40.812381, 114.900897 40.62296, 116.523928 40.233411, 116.24763 40.174674)"
3098,Shaanxi Gas Pipeline Network,Mian County-Kang County gas pipeline,Operating,Mian County,Kang County,1,bcm/y,Shaanxi,Gansu,--
3103,Qingdao-Nanjing Gas Pipeline,,Operating,Dongjiakou Port,,7.2,bcm/y,Shandong,Jiangsu,"LINESTRING (119.760056 35.58415, 119.752847 35.699264, 119.259188 35.092104, 118.96095 34.309948, 119.210369 33.534039, 119.374198 33.246002, 119.513596 32.906271, 119.486918 32.729708, 119.309361 32.648764, 119.087956 32.257451)"
3128,Zhoukou-Wuhan Connecting Pipeline,,Operating,Huaiyang (淮阳分输站),Wuhan (武汉分输站),2.25,bcm/y,Henan,Hubei,"LINESTRING (114.821452 33.698053, 114.882473 32.063994, 114.848939 31.990865, 114.069458 30.411802)"
3129,Chongqing-Guizhou-Guangxi Gas Pipeline,,Proposed,Fuling,Fangchenggang,10,bcm/y,Chongqing,Guangxi,"LINESTRING (107.378182 29.689579, 106.934188 27.729828, 106.545545 26.311174, 107.531372 25.81555, 108.083067 24.688127, 109.491988 24.305269, 109.245257 23.748081, 108.587763 22.74391, 108.677505 21.952529, 108.347655 21.580319)"
3134,Puyang–Cangzhou Gas Pipeline,,Operating,Puyang,,1.62,bcm/y,Henan,Hebei,"LINESTRING (115.23477 35.732924, 117.002744 38.319473)"
3137,Datang-Hexigten Coal Gasification Transmission Pipeline,,Operating,Chifeng,Gaoliying,4.38,bcm/y,Inner Mongolia,Beijing,"LINESTRING (116.782143 43.069251, 116.563563 42.21149, 117.103505 41.562308, 117.368954 40.997918, 117.218177 40.71502, 116.986617 40.346241, 116.523928 40.233411)"
3138,Hainan Haikou–Guangdong Xvwen Pipeline,,Shelved,,Xvwen,10,bcm/y,Hainan,Guangdong,"LINESTRING (110.362444 21.266637, 110.197253 20.041758)"
3139,Shenmu-Anping Coalbed Gas Pipeline,Shaanxi-Shanxi Segment,Construction,Kangning,,2,bcm/y,Shaanxi,Shanxi,"LINESTRING (111.078255 38.335616, 111.07578 38.334737, 111.074673 38.334411, 111.072914 38.334346, 111.068811 38.334737, 111.06697 38.334839, 111.064466 38.334711, 111.061907 38.334281, 111.05852 38.333109, 111.054092 38.331936, 111.050314 38.330959, 111.048621 38.330373, 111.047189 38.330151, 111.04595 38.330243, 111.044713 38.331024, 111.042759 38.332783, 111.041001 38.334411, 111.036507 38.337928, 111.033836 38.339361, 111.022463 38.345244, 111.020921 38.346336, 111.020279 38.347042, 111.020215 38.348327, 111.02055 38.349586, 111.021527 38.353885, 111.022569 38.356946, 111.023676 38.359291, 111.033706 38.373749, 111.034087 38.374337, 111.034162 38.375312, 111.033445 38.3762, 111.031361 38.380393, 111.031005 38.383136, 111.031166 38.385408, 111.017163 38.396903, 111.016512 38.40055, 111.015398 38.402082, 111.013646 38.402374, 111.01052 38.403025, 111.007785 38.403937, 111.006742 38.4055, 111.006482 38.409147, 111.000229 38.416833, 110.999448 38.421001, 110.992284 38.428686, 110.988636 38.435329, 110.983947 38.441973, 110.9803 38.447444, 110.979649 38.449788, 110.979388 38.452524, 110.980691 38.455389, 110.981993 38.457864, 110.98564 38.461251, 110.988115 38.464898, 110.988506 38.467373, 110.988376 38.469718, 110.987782 38.471509, 110.986552 38.472974, 110.984859 38.474277, 110.982514 38.474407, 110.978726 38.47427, 110.976658 38.474052, 110.975668 38.474361, 110.974959 38.475579, 110.974568 38.479227, 110.973136 38.482483, 110.971182 38.48613, 110.968316 38.488736, 110.966232 38.490429, 110.966102 38.492383, 110.966232 38.496291, 110.966623 38.50098, 110.966386 38.506453, 110.965841 38.510098, 110.96519 38.513615, 110.963366 38.514527, 110.959719 38.516872, 110.955941 38.520779, 110.95529 38.523906, 110.949428 38.532372, 110.947214 38.535238, 110.946432 38.545789, 110.942785 38.553084, 110.94539 38.559336, 110.94539 38.56637, 110.942134 38.571841, 110.938617 38.574316, 110.93536 38.576791, 110.934449 38.578093, 110.9351 38.579787, 110.93894 38.588202, 110.938487 38.59659, 110.938483 38.598331, 110.939919 38.604666, 110.939986 38.605781, 110.939659 38.60649, 110.938096 38.607011, 110.936522 38.607676, 110.935477 38.60859, 110.932536 38.608917, 110.930772 38.609963, 110.929726 38.612054, 110.927936 38.615999, 110.926112 38.61665, 110.923377 38.617562, 110.913868 38.617823, 110.91022 38.61639, 110.908136 38.614827, 110.902926 38.61157, 110.901102 38.610919, 110.899018 38.61144, 110.894068 38.615348, 110.893026 38.61678, 110.893026 38.621209, 110.892114 38.622251, 110.889249 38.622772, 110.885813 38.62264, 110.881435 38.621987, 110.877579 38.621333, 110.874139 38.621209, 110.870849 38.62068, 110.867886 38.620558, 110.862546 38.621209, 110.85981 38.622512, 110.857596 38.624205, 110.854079 38.625117, 110.851343 38.625117, 110.848478 38.624987, 110.845742 38.624335, 110.842746 38.625768, 110.837536 38.628113, 110.832846 38.628504, 110.829199 38.629155, 110.825422 38.632151, 110.821905 38.634626, 110.8094 38.642963, 110.809139 38.649085, 110.806404 38.652992, 110.804841 38.655858, 110.80471 38.659245, 110.80458 38.663022, 110.803929 38.665237, 110.802105 38.667451, 110.800282 38.670447, 110.798458 38.672531, 110.798067 38.675527, 110.798328 38.678523, 110.796374 38.681128, 110.794029 38.683213, 110.792336 38.685688, 110.788949 38.688162, 110.787125 38.690507, 110.786214 38.69181, 110.786344 38.693243, 110.787777 38.694285, 110.78934 38.695457, 110.790642 38.69715, 110.792987 38.701058, 110.793769 38.701579)"
3140,Shenmu-Anping Coalbed Gas Pipeline,Shanxi–Hebei Segment,Operating,Kangning,Anping,5,bcm/y,Shaanxi,Hebei,"LINESTRING (111.078255 38.335616, 111.097273 38.345516, 111.100659 38.3476, 111.104828 38.349163, 111.108475 38.349163, 111.112383 38.347079, 111.118375 38.343953, 111.12111 38.343627, 111.123324 38.344213, 111.125409 38.346297, 111.12593 38.350205, 111.129274 38.359049, 111.140117 38.368224, 111.14104 38.371568, 111.140951 38.37573, 111.10759 38.428274, 111.106912 38.431747, 111.109258 38.434112, 111.123436 38.43995, 111.125637 38.440716, 111.13138 38.436614, 111.157631 38.435793, 111.167314 38.437407, 111.195556 38.420462, 111.230478 38.426812, 111.230478 38.441892, 111.243749 38.444234, 111.248433 38.450479, 111.248433 38.476241, 111.273415 38.494196, 111.304641 38.49888, 111.316351 38.512932, 111.335087 38.512932, 111.346797 38.524642, 111.406909 38.516055, 111.426426 38.491854, 111.445942 38.506687, 111.467801 38.502784, 111.494344 38.505906, 111.516983 38.497319, 111.523228 38.49888, 111.532596 38.514494, 111.538842 38.52152, 111.541964 38.535572, 111.557578 38.536352, 111.563043 38.54494, 111.613005 38.558992, 111.627057 38.560553, 111.637987 38.565237, 111.652039 38.565237, 111.66531 38.573825, 111.675459 38.572263, 111.691072 38.581631, 111.704343 38.587096, 111.707466 38.611297, 111.716054 38.614419, 111.730106 38.6152, 111.738693 38.608174, 111.753526 38.600367, 111.771481 38.596464, 111.78163 38.587877, 111.803488 38.587877, 111.812856 38.582412, 111.842522 38.583193, 111.858916 38.600367, 111.866722 38.602709, 111.897169 38.602709, 111.909659 38.598025, 111.931518 38.597245, 111.947131 38.605051, 111.954157 38.605051, 111.976016 38.589438, 111.993191 38.587877, 112.018953 38.569141, 112.030663 38.567579, 112.056425 38.573044, 112.094678 38.573825, 112.103265 38.573044, 112.134492 38.564456, 112.20319 38.558992, 112.246908 38.576947, 112.261741 38.579289, 112.289064 38.578509, 112.303116 38.579289, 112.317949 38.590219, 112.320291 38.601148, 112.333562 38.602709, 112.357763 38.611297, 112.38977 38.611297, 112.409287 38.637839, 112.42412 38.645646, 112.435049 38.644865, 112.452224 38.630813, 112.466276 38.625349, 112.474863 38.617542, 112.499064 38.618323, 112.509212 38.612858, 112.545904 38.611297, 112.563859 38.595683, 112.592744 38.597245, 112.603673 38.59178, 112.605235 38.577728, 112.603673 38.562895, 112.591963 38.547282, 112.581815 38.526984, 112.584937 38.51059, 112.589621 38.496538, 112.595867 38.48639, 112.608357 38.47546, 112.619287 38.46297, 112.618506 38.441111, 112.622409 38.426278, 112.627093 38.419252, 112.634119 38.406762, 112.635681 38.402078, 112.643487 38.398955, 112.659101 38.397394, 112.666127 38.391929, 112.687985 38.367728, 112.697353 38.342747, 112.696573 38.329475, 112.692669 38.312301, 112.687205 38.292784, 112.687985 38.280293, 112.69345 38.273267, 112.698915 38.266241, 112.703599 38.263899, 112.716089 38.261557, 112.729361 38.256093, 112.737167 38.250628, 112.742632 38.237357, 112.748097 38.231111, 112.753562 38.227989, 112.765272 38.226427, 112.788692 38.221743, 112.803524 38.217059, 112.819918 38.214717, 112.83319 38.20613, 112.839435 38.20613, 112.867539 38.220962, 112.876907 38.224085, 112.887836 38.222524, 112.895643 38.21862, 112.910476 38.207691, 112.924528 38.192078, 112.93858 38.190516, 112.951851 38.179587, 112.976052 38.179587, 112.988543 38.174122, 113.005717 38.169438, 113.048654 38.166316, 113.074416 38.149922, 113.085345 38.149922, 113.108766 38.155386, 113.126721 38.163193, 113.140773 38.163974, 113.164974 38.161632, 113.17278 38.161632, 113.206349 38.189736, 113.213375 38.192858, 113.21962 38.193639, 113.222743 38.20613, 113.23133 38.210033, 113.243821 38.212375, 113.256312 38.210814, 113.292223 38.211594, 113.305494 38.224085, 113.317948 38.267951, 113.336292 38.280459, 113.352134 38.281292, 113.379649 38.286295, 113.396325 38.286295, 113.406331 38.282126, 113.431345 38.272954, 113.443018 38.272954, 113.455526 38.26545, 113.497216 38.25878, 113.525565 38.240436, 113.551413 38.238768, 113.567255 38.237101, 113.606444 38.243771, 113.618117 38.251275, 113.634793 38.252109, 113.65147 38.256278, 113.669813 38.272954, 113.73485 38.272954, 113.750692 38.278791, 113.759864 38.277957, 113.769036 38.27212, 113.778208 38.261281, 113.785712 38.259613, 113.798219 38.260447, 113.809892 38.260447, 113.815729 38.253777, 113.820732 38.244605, 113.828236 38.235433, 113.836574 38.232932, 113.851583 38.232098, 113.862422 38.232098, 113.869926 38.231264, 113.874095 38.227095, 113.881599 38.222092, 113.897442 38.217089, 113.910783 38.217089, 113.933295 38.222926, 113.945802 38.219591, 113.964146 38.225427, 113.989994 38.23043, 114.005003 38.226261, 114.021679 38.23043, 114.086715 38.228763, 114.105893 38.22376, 114.122569 38.215422, 114.146749 38.197078, 114.171763 38.182903, 114.229296 38.186239, 114.264316 38.177901, 114.299335 38.176233, 114.314344 38.180402, 114.32435 38.187072, 114.345195 38.187906, 114.375212 38.179568, 114.387719 38.176233, 114.395223 38.177067, 114.399392 38.184571, 114.395223 38.208751, 114.399392 38.211253, 114.461093 38.224594, 114.467764 38.225427, 114.487775 38.215422, 114.506953 38.210419, 114.536136 38.211253, 114.552812 38.204582, 114.568654 38.210419, 114.579494 38.217089, 114.588665 38.222926, 114.597837 38.22376, 114.604508 38.215422, 114.610344 38.198746, 114.62035 38.193743, 114.631189 38.192075, 114.685387 38.203749, 114.695392 38.204582, 114.708733 38.19958, 114.762097 38.170396, 114.775438 38.165394, 114.802953 38.167895, 114.835472 38.173732, 114.849646 38.173732, 114.883832 38.196244, 114.895505 38.202915, 114.907179 38.202081, 114.925522 38.203749, 114.945534 38.210419, 114.96221 38.213754, 114.976384 38.213754, 115.000565 38.212087, 115.013072 38.207918, 115.018075 38.207084, 115.024745 38.207084, 115.038086 38.216256, 115.048092 38.22376, 115.0631 38.226261, 115.075607 38.23043, 115.100621 38.231264, 115.132306 38.232098, 115.145647 38.238768, 115.158154 38.236267, 115.177331 38.227095, 115.19234 38.226261, 115.225692 38.224594, 115.259878 38.225427, 115.274886 38.222092, 115.292396 38.227929, 115.312408 38.242104, 115.332419 38.252943, 115.354562 38.262962, 115.374246 38.272804, 115.386548 38.273624, 115.393441 38.276181, 115.39861 38.284797, 115.406365 38.304613)"
3141,Jiangsu–Henan–Anhui Provinces Connection Line (Binhai–Shangqiu),,Proposed,Binhai,,15,bcm/y,Jiangsu,Henan,"LINESTRING (119.997 34.096, 116.964 33.648, 115.656 34.415)"
3142,Tibet Natural Gas Pipeline,,Construction,,,1.2,bcm/y,Qinghai,Tibet,"LINESTRING (94.163561 37.348229, 94.964776 36.524214, 90.942328 29.661223)"
